caso,query_id,query_text,n_relevantes,modelo,rank,doc_id,score,relevante,doc_snippet
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,Vetorial,1,553,0.36831416223863983,False,ablation of glassy materials around blunt bodies of revolution .   the steady-state equations of motion for a thin layer of an incompressible glassy m
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,Vetorial,2,1099,0.2935764354169583,False,a theoretical study of stagnation point ablation . a simplified analysis is made of the shielding mechanism which reduces the stagnation-point heat tr
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,Vetorial,3,1279,0.29258850615751486,False,sublimation in a hypersonic environment .   a priori knowledge of the response of materials subjected to a severe aerothermal environment is essential
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,Vetorial,4,1097,0.27357996519698585,False,experimental ablation cooling .   this paper presents the results of an experimental investigation on the ablation of a number of promising materials
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,Vetorial,5,1100,0.2587286913392222,False,an analytical investigation of ablation . an analytical procedure is described which enables the derivation of effective heat of ablation relationship
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,BM25,1,274,23.808362203908736,True,analysis of quartz and teflon shields for a particular re-entry mission .   the transient performance of ablation type heat protection shields is trea
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,BM25,2,553,23.307736745492218,False,ablation of glassy materials around blunt bodies of revolution .   the steady-state equations of motion for a thin layer of an incompressible glassy m
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,BM25,3,1279,22.93003615482408,False,sublimation in a hypersonic environment .   a priori knowledge of the response of materials subjected to a severe aerothermal environment is essential
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,BM25,4,82,20.902791928774167,True,theoretical investigation of the ablation of a glass-type heat protection shield of varied material properties at the stagnation point of a re-enterin
BM25 >> Vetorial,167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,2,BM25,5,1100,15.275672300661956,False,an analytical investigation of ablation . an analytical procedure is described which enables the derivation of effective heat of ablation relationship
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,Vetorial,1,714,0.27840165148270934,False,"blockage corrections for three-dimensional flow closed throat wind tunnels, with considerations of the effect of compressibility .   theoretical block"
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,Vetorial,2,652,0.25745751237917663,False,pressure distribution on two dimensional wings near the ground .   a simple method of calculating the pressure distribution in incompressible flow on
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,Vetorial,3,249,0.24518224696401106,False,formulae for the computation of the functions employed for calculating the velocity distribution about a given aerofoil .   in order to determine the
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,Vetorial,4,799,0.24468773679127787,True,some effects of wind-tunnel interference observed in tests on two-dimensional aerofoils at high subsonic and transonic speeds . in the high-speed rese
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,Vetorial,5,206,0.2307623004874334,False,the applications of the polygon method to the calculation of the compressible subsonic flow round two-dimensional profiles .   this paper sets out the
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,BM25,1,799,17.196109535743023,True,some effects of wind-tunnel interference observed in tests on two-dimensional aerofoils at high subsonic and transonic speeds . in the high-speed rese
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,BM25,2,714,13.074832126048609,False,"blockage corrections for three-dimensional flow closed throat wind tunnels, with considerations of the effect of compressibility .   theoretical block"
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,BM25,3,672,11.732113025526521,True,"tunnel interference effects . the problems of solid blockage, wake blockage, lift effect, and the influence of boundary constraint at high mach number"
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,BM25,4,631,11.70269716898636,False,low speed wind tunnel tests on a two dimensional aerofoil with split flap near the ground .   pressure distributions have been measured on a 10 thick
BM25 >> Vetorial,81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,2,BM25,5,185,9.621611950145962,False,some possibilities of using gas mixtures other than in aerodynamic research . a study is made of the advantages that can be realized in compressible-f
Vetorial >> BM25,145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,7,Vetorial,1,1045,0.36684350918187264,True,"the bending strength of pressurized cylinders .   discussion of previously presented experimental data for the loading of pressurized cylinders, in te"
